('ProBookLaptop', 'Elektronik', 'Styckpris', '1131', '35392')
('MountainExplorerRyggsäck', 'Friluftsutrustning', 'Styckpris', '1808', '39590')
('JavaBönor', 'Matvaror', 'Kilopris', '615', '35567')
('BlazingSpeedRouter', 'Elektronik', 'Styckpris', '92', '39749')
('EcoSmartGlödlampa', 'Hemutrustning', 'Styckpris', '1388', '10291')
('ThunderboltUSB-Kabel', 'Elektronik', 'Styckpris', '1420', '6110')
('CrystalClearVattenglas', 'Hushållsartiklar', 'Styckpris', '430', '15106')
('UltraFreshTandkräm', 'Hygienprodukter', 'Styckpris', '1502', '24735')
('EverGreenKrukväxt', 'Inredning', 'Styckpris', '810', '31126')
('GoldenWheatMjöl', 'Matvaror', 'Kilopris', '1816', '36920')
('SolarMaxSolpanel', 'Energiutrustning', 'Styckpris', '1298', '15342')
('RainforestDuschgel', 'Hygienprodukter', 'Styckpris', '1626', '25012')
('QuickChargePowerbank', 'Elektronik', 'Styckpris', '1296', '11799')
('ArcticCoolKylskåp', 'Hushållsapparater', 'Styckpris', '1888', '21098')
('PureStreamVattenfilter', 'Hemutrustning', 'Styckpris', '1704', '31208')
('SuperFlexYogaMatta', 'Sportutrustning', 'Styckpris', '1373', '23670')
('BrightViewSkrivbordslampa', 'Kontorsmaterial', 'Styckpris', '843', '18088')
('GourmetSelectionOlivolja', 'Matvaror', 'Literpris', '1953', '32718')
('InfinityBookE-bokläsare', 'Elektronik', 'Styckpris', '1999', '26132')
('FreshAirLuftrenare', 'Hemutrustning', 'Styckpris', '1635', '39777')
('Omega-3Fiskolja', 'Kosttillskott', 'Styckpris', '1470', '36666')
('RapidFireSpelkontroll', 'Elektronik', 'Styckpris', '1933', '15515')
('ZenGardenBonsaiträd', 'Trädgårdsprodukter', 'Styckpris', '1923', '24689')
('CycloneCykel', 'Sportutrustning', 'Styckpris', '719', '9247')
('SilverStreamVattenkokare', 'Köksapparater', 'Styckpris', '378', '26118')
('NightVisionKikare', 'Friluftsutrustning', 'Styckpris', '1977', '9895')
('DreamSoftKudde', 'Hemtextil', 'Styckpris', '223', '32787')
('PowerBlendMixer', 'Köksapparater', 'Styckpris', '727', '8168')
